Geography,zip,Less than high school graduate,High school graduate or higher,Some college or associates degree,Bachelor degree or higher,Graduate degree or higher
860Z200US11552,11552,1378,35872,5245,20384,3661
860Z200US11553,11553,4325,35297,6139,10312,1906
860Z200US11554,11554,2200,55546,7404,30838,5139
860Z200US11556,11556,0,0,0,0,0
860Z200US11557,11557,410,11358,946,9799,1695
860Z200US11558,11558,440,15298,2193,5243,882
860Z200US11559,11559,625,9571,1392,8184,1272
860Z200US11560,11560,518,9394,1088,7395,1373
860Z200US11561,11561,1463,66123,7886,41501,7447
860Z200US11563,11563,1501,33747,4252,19594,3189
860Z200US11565,11565,247,13967,1619,10609,1767
860Z200US11566,11566,1078,51217,5490,36119,6529
860Z200US11568,11568,55,4856,1123,4358,871
860Z200US11569,11569,33,1815,279,1306,255
860Z200US11570,11570,1281,41208,4640,31393,5948
860Z200US11572,11572,1316,47158,5045,26661,4954
860Z200US11575,11575,2418,24407,4090,8229,851
860Z200US11576,11576,240,18831,1459,17656,3948
860Z200US11577,11577,260,17852,1380,15425,3243
860Z200US11579,11579,155,7512,647,5195,1205
860Z200US11580,11580,3461,64507,10944,33212,4071
860Z200US11581,11581,1445,30905,3825,20167,3036
860Z200US11590,11590,5330,65836,8693,36152,5286
860Z200US11596,11596,278,14864,2157,10137,1848
860Z200US11598,11598,565,17426,1395,14164,3176
860Z200US11691,11691,9501,83678,13663,28696,4756
860Z200US11692,11692,2965,31186,4839,11535,1929
860Z200US11693,11693,1580,19460,2648,9258,1300
860Z200US11694,11694,1723,32263,4077,17351,3314
860Z200US11697,11697,230,5967,850,3941,750
860Z200US11701,11701,3389,39502,6797,14771,2940
860Z200US11702,11702,441,23121,2918,14686,2564
860Z200US11703,11703,1038,25781,4709,10570,1352
860Z200US11704,11704,3584,61234,9787,23086,3954
860Z200US11705,11705,172,12746,1940,8570,1592
860Z200US11706,11706,7372,89863,14482,32233,5436
860Z200US11709,11709,262,10863,1404,6875,1386
860Z200US11710,11710,894,53764,6405,33847,5840
860Z200US11713,11713,790,13073,2269,4871,875
860Z200US11714,11714,999,35325,4450,18390,2660
860Z200US11715,11715,60,6454,738,3597,720
860Z200US11716,11716,402,16087,2057,7322,1013
860Z200US11717,11717,13996,76728,12808,20581,2991
860Z200US11718,11718,61,4373,610,3255,525
860Z200US11719,11719,225,5371,790,2194,408
860Z200US11720,11720,1763,42383,6813,18147,3437
860Z200US11721,11721,170,10058,966,8755,1592
860Z200US11722,11722,6750,44296,7887,11810,1655
860Z200US11724,11724,85,3624,245,3685,739
860Z200US11725,11725,765,42163,5754,29948,5349
860Z200US11726,11726,2811,28769,5075,9429,1217
860Z200US11727,11727,2585,45451,8235,17351,2519
860Z200US11729,11729,1359,41232,6613,19146,3211
